lr-AdamW/pg1,lr-AdamW/pg2,step,train_loss_step,epoch,val_loss,val_f1score,train_loss_epoch,test_loss,test_acc
9.936771751719948e-05,9.936771751719948e-05,409,,,,,,,
9.936771751719948e-05,9.936771751719948e-05,409,,,,,,,
,,409,0.5217707753181458,10,,,,,
9.936771751719948e-05,9.936771751719948e-05,419,,,,,,,
9.936771751719948e-05,9.936771751719948e-05,419,,,,,,,
,,419,0.5213093757629395,10,,,,,
9.936771751719948e-05,9.936771751719948e-05,429,,,,,,,
9.936771751719948e-05,9.936771751719948e-05,429,,,,,,,
,,429,0.5301291346549988,10,,,,,
9.936771751719948e-05,9.936771751719948e-05,439,,,,,,,
9.936771751719948e-05,9.936771751719948e-05,439,,,,,,,
,,439,0.5713391304016113,10,,,,,
,,439,,10,0.4111793637275696,0.7638673186302185,,,
,,439,,10,,,0.5452211499214172,,
9.930442597737961e-05,9.930442597737961e-05,449,,,,,,,
9.930442597737961e-05,9.930442597737961e-05,449,,,,,,,
,,449,0.5057352781295776,11,,,,,
9.930442597737961e-05,9.930442597737961e-05,459,,,,,,,
9.930442597737961e-05,9.930442597737961e-05,459,,,,,,,
,,459,0.4279201328754425,11,,,,,
9.930442597737961e-05,9.930442597737961e-05,469,,,,,,,
9.930442597737961e-05,9.930442597737961e-05,469,,,,,,,
,,469,0.49597716331481934,11,,,,,
9.930442597737961e-05,9.930442597737961e-05,479,,,,,,,
9.930442597737961e-05,9.930442597737961e-05,479,,,,,,,
,,479,0.5263188481330872,11,,,,,
,,479,,11,0.403691828250885,0.7861228585243225,,,
,,479,,11,,,0.5181737542152405,,
9.924113443755974e-05,9.924113443755974e-05,489,,,,,,,
9.924113443755974e-05,9.924113443755974e-05,489,,,,,,,
,,489,0.4990621507167816,12,,,,,
9.924113443755974e-05,9.924113443755974e-05,499,,,,,,,
9.924113443755974e-05,9.924113443755974e-05,499,,,,,,,
,,499,0.48883309960365295,12,,,,,
9.924113443755974e-05,9.924113443755974e-05,509,,,,,,,
9.924113443755974e-05,9.924113443755974e-05,509,,,,,,,
,,509,0.5421128273010254,12,,,,,
9.924113443755974e-05,9.924113443755974e-05,519,,,,,,,
9.924113443755974e-05,9.924113443755974e-05,519,,,,,,,
,,519,0.5668343901634216,12,,,,,
,,519,,12,0.39933669567108154,0.8233221769332886,,,
,,519,,12,,,0.5027211904525757,,
9.917784289773986e-05,9.917784289773986e-05,529,,,,,,,
9.917784289773986e-05,9.917784289773986e-05,529,,,,,,,
,,529,0.5363282561302185,13,,,,,
9.917784289773986e-05,9.917784289773986e-05,539,,,,,,,
9.917784289773986e-05,9.917784289773986e-05,539,,,,,,,
,,539,0.46377846598625183,13,,,,,
9.917784289773986e-05,9.917784289773986e-05,549,,,,,,,
9.917784289773986e-05,9.917784289773986e-05,549,,,,,,,
,,549,0.48560965061187744,13,,,,,
9.917784289773986e-05,9.917784289773986e-05,559,,,,,,,
9.917784289773986e-05,9.917784289773986e-05,559,,,,,,,
,,559,0.47446566820144653,13,,,,,
,,559,,13,0.3830186724662781,0.820019543170929,,,
,,559,,13,,,0.5104199051856995,,
9.911455135792e-05,9.911455135792e-05,569,,,,,,,
9.911455135792e-05,9.911455135792e-05,569,,,,,,,
,,569,0.516472339630127,14,,,,,
9.911455135792e-05,9.911455135792e-05,579,,,,,,,
9.911455135792e-05,9.911455135792e-05,579,,,,,,,
,,579,0.4375460147857666,14,,,,,
9.911455135792e-05,9.911455135792e-05,589,,,,,,,
9.911455135792e-05,9.911455135792e-05,589,,,,,,,
,,589,0.4762105941772461,14,,,,,
9.911455135792e-05,9.911455135792e-05,599,,,,,,,
9.911455135792e-05,9.911455135792e-05,599,,,,,,,
,,599,0.4082407057285309,14,,,,,
,,599,,14,0.37797093391418457,0.8030020594596863,,,
,,599,,14,,,0.4866657257080078,,
9.905125981810012e-05,9.905125981810012e-05,609,,,,,,,
9.905125981810012e-05,9.905125981810012e-05,609,,,,,,,
,,609,0.5351743698120117,15,,,,,
9.905125981810012e-05,9.905125981810012e-05,619,,,,,,,
9.905125981810012e-05,9.905125981810012e-05,619,,,,,,,
,,619,0.4721492528915405,15,,,,,
9.905125981810012e-05,9.905125981810012e-05,629,,,,,,,
9.905125981810012e-05,9.905125981810012e-05,629,,,,,,,
,,629,0.5080431699752808,15,,,,,
9.905125981810012e-05,9.905125981810012e-05,639,,,,,,,
9.905125981810012e-05,9.905125981810012e-05,639,,,,,,,
,,639,0.4767589569091797,15,,,,,
,,639,,15,0.3549638092517853,0.8474758267402649,,,
,,639,,15,,,0.4890108108520508,,
9.898796827828025e-05,9.898796827828025e-05,649,,,,,,,
9.898796827828025e-05,9.898796827828025e-05,649,,,,,,,
,,649,0.34901148080825806,16,,,,,
9.898796827828025e-05,9.898796827828025e-05,659,,,,,,,
9.898796827828025e-05,9.898796827828025e-05,659,,,,,,,
,,659,0.5033021569252014,16,,,,,
9.898796827828025e-05,9.898796827828025e-05,669,,,,,,,
9.898796827828025e-05,9.898796827828025e-05,669,,,,,,,
,,669,0.5615684986114502,16,,,,,
9.898796827828025e-05,9.898796827828025e-05,679,,,,,,,
9.898796827828025e-05,9.898796827828025e-05,679,,,,,,,
,,679,0.4247271418571472,16,,,,,
,,679,,16,0.36747246980667114,0.8418398499488831,,,
,,679,,16,,,0.4718436598777771,,
9.892467673846037e-05,9.892467673846037e-05,689,,,,,,,
9.892467673846037e-05,9.892467673846037e-05,689,,,,,,,
,,689,0.4285806715488434,17,,,,,
9.892467673846037e-05,9.892467673846037e-05,699,,,,,,,
9.892467673846037e-05,9.892467673846037e-05,699,,,,,,,
,,699,0.37269824743270874,17,,,,,
9.892467673846037e-05,9.892467673846037e-05,709,,,,,,,
9.892467673846037e-05,9.892467673846037e-05,709,,,,,,,
,,709,0.5533397793769836,17,,,,,
9.892467673846037e-05,9.892467673846037e-05,719,,,,,,,
9.892467673846037e-05,9.892467673846037e-05,719,,,,,,,
,,719,0.5774669647216797,17,,,,,
,,719,,17,0.3470207154750824,0.8491337299346924,,,
,,719,,17,,,0.4612376391887665,,
9.88613851986405e-05,9.88613851986405e-05,729,,,,,,,
9.88613851986405e-05,9.88613851986405e-05,729,,,,,,,
,,729,0.4922681152820587,18,,,,,
9.88613851986405e-05,9.88613851986405e-05,739,,,,,,,
9.88613851986405e-05,9.88613851986405e-05,739,,,,,,,
,,739,0.47686898708343506,18,,,,,
9.88613851986405e-05,9.88613851986405e-05,749,,,,,,,
9.88613851986405e-05,9.88613851986405e-05,749,,,,,,,
,,749,0.4495071768760681,18,,,,,
9.88613851986405e-05,9.88613851986405e-05,759,,,,,,,
9.88613851986405e-05,9.88613851986405e-05,759,,,,,,,
,,759,0.43232885003089905,18,,,,,
,,759,,18,0.35400551557540894,0.7361086010932922,,,
,,759,,18,,,0.4604863226413727,,
9.879809365882063e-05,9.879809365882063e-05,769,,,,,,,
9.879809365882063e-05,9.879809365882063e-05,769,,,,,,,
,,769,0.3846433758735657,19,,,,,
9.879809365882063e-05,9.879809365882063e-05,779,,,,,,,
9.879809365882063e-05,9.879809365882063e-05,779,,,,,,,
