lr-AdamW/pg1,lr-AdamW/pg2,step,train_loss_step,epoch,val_loss,val_f1score,train_loss_epoch,test_loss,test_acc
0.0,0.0,9,,,,,,,
0.0,0.0,9,,,,,,,
,,9,1.0759937763214111,0,,,,,
0.0,0.0,19,,,,,,,
0.0,0.0,19,,,,,,,
,,19,1.1410305500030518,0,,,,,
0.0,0.0,29,,,,,,,
0.0,0.0,29,,,,,,,
,,29,1.1177443265914917,0,,,,,
0.0,0.0,39,,,,,,,
0.0,0.0,39,,,,,,,
,,39,1.0668706893920898,0,,,,,
,,39,,0,1.1143497228622437,0.17806421220302582,,,
,,39,,0,,,1.1727591753005981,,
9.993734137557833e-05,9.993734137557833e-05,49,,,,,,,
9.993734137557833e-05,9.993734137557833e-05,49,,,,,,,
,,49,1.2161850929260254,1,,,,,
9.993734137557833e-05,9.993734137557833e-05,59,,,,,,,
9.993734137557833e-05,9.993734137557833e-05,59,,,,,,,
,,59,1.1824889183044434,1,,,,,
9.993734137557833e-05,9.993734137557833e-05,69,,,,,,,
9.993734137557833e-05,9.993734137557833e-05,69,,,,,,,
,,69,1.0875929594039917,1,,,,,
9.993734137557833e-05,9.993734137557833e-05,79,,,,,,,
9.993734137557833e-05,9.993734137557833e-05,79,,,,,,,
,,79,1.058772325515747,1,,,,,
,,79,,1,0.9047918915748596,0.2463434636592865,,,
,,79,,1,,,1.0855439901351929,,
9.987404983575846e-05,9.987404983575846e-05,89,,,,,,,
9.987404983575846e-05,9.987404983575846e-05,89,,,,,,,
,,89,1.0971336364746094,2,,,,,
9.987404983575846e-05,9.987404983575846e-05,99,,,,,,,
9.987404983575846e-05,9.987404983575846e-05,99,,,,,,,
,,99,1.082746148109436,2,,,,,
9.987404983575846e-05,9.987404983575846e-05,109,,,,,,,
9.987404983575846e-05,9.987404983575846e-05,109,,,,,,,
,,109,1.0305919647216797,2,,,,,
9.987404983575846e-05,9.987404983575846e-05,119,,,,,,,
9.987404983575846e-05,9.987404983575846e-05,119,,,,,,,
,,119,0.7865496277809143,2,,,,,
,,119,,2,0.8226449489593506,0.27459439635276794,,,
,,119,,2,,,0.9548139572143555,,
9.98107582959386e-05,9.98107582959386e-05,129,,,,,,,
9.98107582959386e-05,9.98107582959386e-05,129,,,,,,,
,,129,0.7588257789611816,3,,,,,
9.98107582959386e-05,9.98107582959386e-05,139,,,,,,,
9.98107582959386e-05,9.98107582959386e-05,139,,,,,,,
,,139,0.8933337926864624,3,,,,,
9.98107582959386e-05,9.98107582959386e-05,149,,,,,,,
9.98107582959386e-05,9.98107582959386e-05,149,,,,,,,
,,149,0.9217528104782104,3,,,,,
9.98107582959386e-05,9.98107582959386e-05,159,,,,,,,
9.98107582959386e-05,9.98107582959386e-05,159,,,,,,,
,,159,0.867988109588623,3,,,,,
,,159,,3,0.7376983761787415,0.31043264269828796,,,
,,159,,3,,,0.8768332600593567,,
9.97474667561187e-05,9.97474667561187e-05,169,,,,,,,
9.97474667561187e-05,9.97474667561187e-05,169,,,,,,,
,,169,0.7778738737106323,4,,,,,
9.97474667561187e-05,9.97474667561187e-05,179,,,,,,,
9.97474667561187e-05,9.97474667561187e-05,179,,,,,,,
,,179,0.7793344259262085,4,,,,,
9.97474667561187e-05,9.97474667561187e-05,189,,,,,,,
9.97474667561187e-05,9.97474667561187e-05,189,,,,,,,
,,189,0.6775140762329102,4,,,,,
9.97474667561187e-05,9.97474667561187e-05,199,,,,,,,
9.97474667561187e-05,9.97474667561187e-05,199,,,,,,,
,,199,0.7131819725036621,4,,,,,
,,199,,4,0.6153163909912109,0.3477739095687866,,,
,,199,,4,,,0.7858594655990601,,
9.968417521629883e-05,9.968417521629883e-05,209,,,,,,,
9.968417521629883e-05,9.968417521629883e-05,209,,,,,,,
,,209,0.6409758925437927,5,,,,,
9.968417521629883e-05,9.968417521629883e-05,219,,,,,,,
9.968417521629883e-05,9.968417521629883e-05,219,,,,,,,
,,219,0.6316578984260559,5,,,,,
9.968417521629883e-05,9.968417521629883e-05,229,,,,,,,
9.968417521629883e-05,9.968417521629883e-05,229,,,,,,,
,,229,0.6899974346160889,5,,,,,
9.968417521629883e-05,9.968417521629883e-05,239,,,,,,,
9.968417521629883e-05,9.968417521629883e-05,239,,,,,,,
,,239,0.8531398773193359,5,,,,,
,,239,,5,0.51690274477005,0.3968620002269745,,,
,,239,,5,,,0.6935057044029236,,
9.962088367647897e-05,9.962088367647897e-05,249,,,,,,,
9.962088367647897e-05,9.962088367647897e-05,249,,,,,,,
,,249,0.5547124147415161,6,,,,,
9.962088367647897e-05,9.962088367647897e-05,259,,,,,,,
9.962088367647897e-05,9.962088367647897e-05,259,,,,,,,
,,259,0.6098322868347168,6,,,,,
9.962088367647897e-05,9.962088367647897e-05,269,,,,,,,
9.962088367647897e-05,9.962088367647897e-05,269,,,,,,,
,,269,0.6085764765739441,6,,,,,
9.962088367647897e-05,9.962088367647897e-05,279,,,,,,,
9.962088367647897e-05,9.962088367647897e-05,279,,,,,,,
,,279,0.37285712361335754,6,,,,,
,,279,,6,0.46165040135383606,0.47345829010009766,,,
,,279,,6,,,0.6104936599731445,,
9.955759213665909e-05,9.955759213665909e-05,289,,,,,,,
9.955759213665909e-05,9.955759213665909e-05,289,,,,,,,
,,289,0.5097254514694214,7,,,,,
9.955759213665909e-05,9.955759213665909e-05,299,,,,,,,
9.955759213665909e-05,9.955759213665909e-05,299,,,,,,,
,,299,0.6006248593330383,7,,,,,
9.955759213665909e-05,9.955759213665909e-05,309,,,,,,,
9.955759213665909e-05,9.955759213665909e-05,309,,,,,,,
,,309,0.6029038429260254,7,,,,,
9.955759213665909e-05,9.955759213665909e-05,319,,,,,,,
9.955759213665909e-05,9.955759213665909e-05,319,,,,,,,
,,319,0.5662174820899963,7,,,,,
,,319,,7,0.4029953181743622,0.5734090805053711,,,
,,319,,7,,,0.5729676485061646,,
9.949430059683923e-05,9.949430059683923e-05,329,,,,,,,
9.949430059683923e-05,9.949430059683923e-05,329,,,,,,,
,,329,0.5164696574211121,8,,,,,
9.949430059683923e-05,9.949430059683923e-05,339,,,,,,,
9.949430059683923e-05,9.949430059683923e-05,339,,,,,,,
,,339,0.5713908076286316,8,,,,,
9.949430059683923e-05,9.949430059683923e-05,349,,,,,,,
9.949430059683923e-05,9.949430059683923e-05,349,,,,,,,
,,349,0.5030683279037476,8,,,,,
9.949430059683923e-05,9.949430059683923e-05,359,,,,,,,
9.949430059683923e-05,9.949430059683923e-05,359,,,,,,,
,,359,0.4454582929611206,8,,,,,
,,359,,8,0.3972642123699188,0.6272013187408447,,,
,,359,,8,,,0.5361586809158325,,
9.943100905701935e-05,9.943100905701935e-05,369,,,,,,,
9.943100905701935e-05,9.943100905701935e-05,369,,,,,,,
,,369,0.4348999857902527,9,,,,,
9.943100905701935e-05,9.943100905701935e-05,379,,,,,,,
9.943100905701935e-05,9.943100905701935e-05,379,,,,,,,
,,379,0.45003506541252136,9,,,,,
9.943100905701935e-05,9.943100905701935e-05,389,,,,,,,
9.943100905701935e-05,9.943100905701935e-05,389,,,,,,,
,,389,0.5234924554824829,9,,,,,
9.943100905701935e-05,9.943100905701935e-05,399,,,,,,,
9.943100905701935e-05,9.943100905701935e-05,399,,,,,,,
,,399,0.5438219308853149,9,,,,,
,,399,,9,0.38346144556999207,0.6343334317207336,,,
,,399,,9,,,0.5179910063743591,,
